# Interacting fermions (standard model)
# L=16, Delta=1, W=1.0
# Diagonal matrix elements (A_i)_m in Hamiltonian eigenbasis, A_i=2n_i-1
# E_m/|E_0| (A_i)_m
-6.476533607943789628e-01 7.003970023000000156e-02
-6.468923367666108426e-01 -4.704287102000000165e-02
-6.457968593008411862e-01 1.823233203000000080e-01
-6.452091468438931887e-01 2.563283774999999820e-01
-6.449403407393237142e-01 1.210450889000000002e-01
-6.445429299335310169e-01 -1.145115763000000009e-02
-6.437971342064037206e-01 1.172525189999999995e-01
-6.434860508374894428e-01 1.981112247999999854e-02
-6.420998801858004423e-01 1.833822123000000137e-01
-6.398230726331236573e-01 1.520607925000000138e-01
-6.391872725628616747e-01 -3.532043621000000022e-02
-6.382401765230826252e-01 1.708908835000000070e-01
-6.377948992827926489e-01 4.820837689000000148e-02
-6.371164149467049009e-01 -4.849368560999999661e-02
-6.362702741694601372e-01 1.914152165000000128e-01
-6.358965718085231034e-01 1.669316526999999883e-01
-6.351494767138081698e-01 2.819848295999999865e-01
-6.342920638155132851e-01 1.662892920000000052e-01
-6.339325565441091825e-01 2.151592325999999999e-02
-6.338568178692010058e-01 3.328371211000000218e-01
-6.332415750252646802e-01 2.732201792999999768e-01
-6.321842225045439800e-01 1.277894005999999916e-01
-6.314659490498780725e-01 1.261958628000000027e-01
-6.307136779303479379e-01 -5.193070370999999796e-02
-6.305037736689863559e-01 2.854483324000000044e-01
-6.297789134210564077e-01 1.574882360000000037e-01
-6.291606473362704177e-01 1.009300686000000058e-01
-6.283270207822886366e-01 1.327501329000000119e-01
-6.279675794703953873e-01 1.733152602999999958e-01
-6.277264263980909531e-01 -2.049635862999999933e-02
-6.267354188282652228e-01 2.223816429999999900e-01
-6.259194191131305374e-01 1.610948369999999907e-01
-6.245393750451130321e-01 1.704520996999999982e-01
-6.241169095944651968e-01 6.334484256000000313e-02
-6.232067143654032026e-01 6.125093578000000150e-02
-6.229439421070558369e-01 9.567764506999999752e-02
-6.218464345025973561e-01 -3.274385986000000193e-02
-6.216534685045213005e-01 1.105340620000000024e-01
-6.211882281371908787e-01 1.390190514000000099e-01
-6.204470806428701302e-01 5.555799396999999695e-02
-6.199702944630919310e-01 1.144613297000000030e-01
-6.183891022877613386e-01 2.850121628000000240e-01
-6.178871390496947225e-01 1.660310881000000016e-01
-6.173397000326541484e-01 2.654719195999999948e-01
-6.164679509679813485e-01 1.000494348999999977e-01
-6.156363940820260838e-01 8.446850118000000240e-02
-6.151345571987342220e-01 2.744121087999999986e-01
-6.144868407139923994e-01 2.917704072000000259e-01
-6.141088152809307532e-01 2.696995025999999740e-01
-6.138178915265278812e-01 2.289499363999999981e-01
-6.135707688286851091e-01 1.068585603000000023e-01
-6.122362929293254652e-01 -1.071293746999999949e-02
-6.120587263324843708e-01 8.217439071000000317e-02
-6.114242124147234447e-01 7.725735247999999944e-02
-6.108788512961579320e-01 1.130017930999999975e-01
