# Interacting fermions (standard model)
# L=14, Delta=1, W=2.0, dmax=4
# Comparison between projected perturbation ||N_i^perp||^2 and its approximation ||N~_i||^2
# ||N_i^perp||^2 ||~N_i||^2
5.487259400100000933e-02 5.483933568399999847e-02
5.448676377599999399e-02 5.445082240899999648e-02
5.542540147599999550e-02 5.527765254399999439e-02
5.330742145600000231e-02 5.328849064899999349e-02
5.435425959999999612e-02 5.420561804099999909e-02
5.156305562499999967e-02 5.127869670400000274e-02
5.666256552099999816e-02 5.639390067599999584e-02
5.402788872100000583e-02 5.400650644899999270e-02
4.545765126400000411e-02 4.543718559999999212e-02
5.599517668900000356e-02 5.598145281600000467e-02
3.451606622500000277e-02 3.450789216900000678e-02
3.832824217600000472e-02 3.809054822400000095e-02
4.385212928100000462e-02 4.384794120100000275e-02
3.791665728400000351e-02 3.790575363600000303e-02
3.568434340899999391e-02 3.567301012900000318e-02
4.350728505599999602e-02 4.350186204100000426e-02
4.497792639999999287e-02 4.486728876100000429e-02
3.287621712400000396e-02 3.287476659599999906e-02
4.859423448099999682e-02 4.855720744900000191e-02
5.230140302500000532e-02 5.224653062500000250e-02
5.323679436099999773e-02 5.323079552400000053e-02
4.770991747600000082e-02 4.770511222499999870e-02
5.399721112900000147e-02 5.384163344399999634e-02
4.706383136399999723e-02 4.702045296400000213e-02
5.519022547599999884e-02 5.504466745599999322e-02
5.381704022500000129e-02 5.366635559999999999e-02
4.933418476899999877e-02 4.927556436100000853e-02
5.223784513600000096e-02 5.195390835600000035e-02
4.863568622500000216e-02 4.841188072900000361e-02
5.227213416100000287e-02 5.202960999999999697e-02
5.478829676099999935e-02 5.459185520099999606e-02
5.620929722499999615e-02 5.611071312900000468e-02
5.516814464100000537e-02 5.500432089999999358e-02
5.726831886399999516e-02 5.720037555599999379e-02
5.404416067599999290e-02 5.395725036899999549e-02
4.685969384099999968e-02 4.628263795599999592e-02
4.264638009999999896e-02 4.258403688099999390e-02
4.245825091599999407e-02 4.232483289999999787e-02
3.025199276100000098e-02 3.025129704099999844e-02
4.623575062499999527e-02 4.623317036099999777e-02
3.476546702500000335e-02 3.473601337599999811e-02
4.481265609999999372e-02 4.473098100899999818e-02
4.223764832400000307e-02 4.223394908099999817e-02
5.138472912399999482e-02 5.124609337599999453e-02
5.615383302400000359e-02 5.550924481600000293e-02
5.687652614400000306e-02 5.681358273600000536e-02
5.456335374399999549e-02 5.441582598400000054e-02
5.640245006400000649e-02 5.637822848100000617e-02
5.819625512100000397e-02 5.576965633599999944e-02
4.893828840000000180e-02 4.873188700900000364e-02
5.436684988900000737e-02 5.338132993599999793e-02
3.580004568099999507e-02 3.579172096899999739e-02
5.448863118399999844e-02 5.445362260900000334e-02
5.405857502499999273e-02 5.405439001600000071e-02
5.529364131599999455e-02 5.528893849600000771e-02
3.929235772900000617e-02 3.929196128400000432e-02
4.609394302500000040e-02 4.609351363599999835e-02
4.736804016400000122e-02 4.733931577599999330e-02
1.901420366399999770e-02 1.901310054400000282e-02
4.944219073600000097e-02 4.933196366400000032e-02
3.972168580900000551e-02 3.972128720400000534e-02
3.540004620100000582e-02 3.539327316099999399e-02
4.705385256100000357e-02 4.705341872399999847e-02
2.786996524900000119e-02 2.786963136400000263e-02
5.112573210000000146e-02 5.111352288900000013e-02
5.012135888399999600e-02 5.004795379600000121e-02
5.171576292100000388e-02 5.171121480099999390e-02
4.477709923599999808e-02 4.477244402500000359e-02
4.609523120399999785e-02 4.608277956100000072e-02
2.584024100100000207e-02 2.583959800900000048e-02
3.142075308100000103e-02 3.141827150399999907e-02
3.178518465599999843e-02 3.178375840000000063e-02
2.911084316099999889e-02 2.911084316099999889e-02
4.730581500099999975e-02 4.729929025600000669e-02
4.504878900899999400e-02 4.504878900899999400e-02
4.437763559999999274e-02 4.437763559999999274e-02
5.038812772900000403e-02 5.030106984100000261e-02
3.747282924100000384e-02 3.746586072100000636e-02
3.636420163600000144e-02 3.636153196900000079e-02
5.140377217600000659e-02 5.134121539600000617e-02
2.161076403599999918e-02 2.160958800399999727e-02
4.546148908899999563e-02 4.540862664900000012e-02
5.531574724900000656e-02 5.527671210000000696e-02
5.880043014400000712e-02 5.740624321599999830e-02
5.327187124900000653e-02 5.326817840100000340e-02
3.550209640000000222e-02 3.536994876099999741e-02
5.345991379599999982e-02 5.341044544900000468e-02
5.688988225600000170e-02 5.674590979600000612e-02
5.578666086400000529e-02 5.575926595600000368e-02
5.857464848399999285e-02 5.800101555599999903e-02
